order_id,region,UPDATE REGION,category,sales,discount,Discount value,quantity,order_date,delivery_date,customer_type,payment_mode,profit,Update city,city,Net revenue
ORD100000,East,NORTH,Clothing,713.49,0.31,221.1819,3,3/30/2023,04-01-2023,Member,UPI,114.72,Pune,Pune,492.3081
ORD100001,West,SOUTH,Electronics,3802.97,0.38,1445.1286,4,8/28/2023,09-03-2023,Regular,Card,971.41,Hyderabad,Hyderabad,2357.8414
ORD100002,North,EAST,Home Care,3588.97,0.1,358.897,7,03-09-2024,3/15/2024,Regular,Cash,769.08,Bangalore,Bangalore,3230.073
ORD100003,East,WEST,Electronics,1160.86,0.27,313.4322,5,10/13/2024,10/19/2024,Member,UPI,71.61,Pune,Pune,847.4278
ORD100004,East,NORTH,Electronics,3071.32,0,0,7,04-06-2023,04-09-2023,New,Cash,621.92,Bangalore,Bangalore,3071.32
ORD100005,WSET,SOUTH,Grocery,2566.18,0.02,51.3236,6,07-01-2023,07-04-2023,Member,UPI,578.94,Mumbai,MUMBAI,2514.8564
ORD100006,North,EAST,Personal Care,398,0.16,63.68,4,07-12-2023,7/17/2023,New,Cash,110.31,Mumbai,Mumbai,334.32
ORD100007,North,WEST,Personal Care,1462.95,0.23,336.4785,2,5/18/2023,5/20/2023,Regular,UPI,91.68,Bangalore,Bangalore,1126.4715
ORD100008,East,NORTH,Personal Care,4997.47,0.29,1449.2663,6,01-05-2024,01-08-2024,Regular,Card,995.78,Delhi,Delhi,3548.2037
ORD100009,South,SOUTH,Grocery,587.72,0.44,258.5968,6,08-10-2024,8/17/2024,New,Cash,102.96,Pune,PUNE,329.1232
ORD100010,East,EAST,Clothing,2581.42,0.39,1006.7538,6,05-07-2024,05-08-2024,Regular,Cash,542.82,Bangalore,Bangalore,1574.6662
ORD100011,East,WEST,Clothing,4261.74,0.15,639.261,1,09-02-2023,09-03-2023,New,UPI,1028.47,Pune,Pune,3622.479
ORD100012,East,NORTH,Home Care,1573.19,0.37,582.0803,6,02-09-2024,2/16/2024,New,Cash,131.5,Bangalore,Bangalore,991.1097
ORD100013,East,SOUTH,Clothing,1377.47,0.27,371.9169,2,5/28/2023,5/29/2023,Member,Cash,255.49,Delhi,Delhi,1005.5531
